Date,Nucleaire,Gaz,Charbon,Biomasse,Fioul,Hydro,STEP Pompage,STEP Turbinage,Batterie Injection,Batterie Soutirage,RES,Charge Nette
2020-01-02 16:00:00,3150.0,3554.9999999999995,0.0,0.0,0.0,0.0,781.8369210697969,0.0,0.0,0.0,5185,5923
2020-01-02 17:00:00,3150.0,3554.9999999999995,0.0,0.0,0.0,113.16307893020304,0.0,0.0,0.0,0.0,4872,6818
2020-01-02 18:00:00,3150.0,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,1010.1630789302033,0.0,0.0,4147,7715
2020-01-02 19:00:00,3150.0,3554.9999999999995,0.0,0.0,0.0,1519.1630789302012,0.0,0.0,0.0,0.0,3463,8224
2020-01-02 20:00:00,3150.0,3555.0,0.0,0.0,0.0,150.16307893020326,0.0,1200.0,0.0,0.0,3037,8055
2020-01-02 21:00:00,3150.0,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,909.1630789302033,0.0,0.0,2954,7614
2020-01-02 22:00:00,3150.0,3555.0,0.0,0.0,0.0,1474.163078930203,0.0,0.0,0.0,0.0,2760,8179
2020-01-02 23:00:00,3150.0,3554.9999999999995,0.0,0.0,0.0,1694.1630789302014,0.0,0.0,0.0,0.0,2953,8399
2020-01-03 00:00:00,3960.0,3555.0000000000005,0.0,0.0,0.0,732.1630789301998,0.0,0.0,0.0,0.0,2813,8247
2020-01-03 01:00:00,3960.0,3555.0,0.0,0.0,0.0,598.1630789302028,0.0,0.0,0.0,0.0,2709,8113
2020-01-03 02:00:00,3960.0,3555.0,0.0,0.0,0.0,731.1630789301998,0.0,0.0,0.0,0.0,2198,8246
2020-01-03 03:00:00,3960.0,3555.0,0.0,0.0,0.0,197.1630789302028,0.0,0.0,0.0,0.0,2086,7712
2020-01-03 04:00:00,3768.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086,7323
2020-01-03 05:00:00,3738.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047,7293
2020-01-03 06:00:00,3168.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2679,6723
2020-01-03 07:00:00,3661.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2235,7216
2020-01-03 08:00:00,2165.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3923,5720
2020-01-03 09:00:00,2065.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4352,5620
2020-01-03 10:00:00,3329.871058925683,3555.0,0.0,0.0,0.0,0.0,231.70797999548117,0.0,0.0,0.0,3685,6653
2020-01-03 11:00:00,2184.1630789302008,3555.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4824,5739
2020-01-03 12:00:00,2156.1630789302026,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5147,5711
2020-01-03 13:00:00,1784.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5053,5339
2020-01-03 14:00:00,1336.1630789302026,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5033,4891
2020-01-03 15:00:00,1421.1630789302026,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4725,4976
2020-01-03 16:00:00,1537.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4574,5092
2020-01-03 17:00:00,2275.1630789302026,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4422,5830
2020-01-03 18:00:00,2556.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4474,6111
2020-01-03 19:00:00,2973.1630789302026,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062,6528
2020-01-03 20:00:00,3369.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408,6924
2020-01-03 21:00:00,4410.0,3555.0,0.0,0.0,0.0,0.0,1114.8369210697972,0.0,0.0,0.0,3128,6850
2020-01-03 22:00:00,3657.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3029,7212
2020-01-03 23:00:00,4410.0,3554.9999999999995,0.0,0.0,0.0,0.0,507.8369210697974,0.0,0.0,0.0,3025,7457
2020-01-04 00:00:00,4410.0,3555.0000000000005,0.0,0.0,0.0,0.0,15.836921069798336,0.0,0.0,0.0,2831,7949
2020-01-04 01:00:00,3600.0,3554.9999999999995,0.0,0.0,0.0,2059.1630789302035,0.0,0.0,0.0,0.0,1257,9214
2020-01-04 02:00:00,3600.0,3555.0000000000005,0.0,0.0,0.0,670.1630789302018,0.0,0.0,0.0,0.0,2279,7825
2020-01-04 03:00:00,3600.0,3554.9999999999995,0.0,0.0,0.0,536.1630789302035,0.0,0.0,0.0,0.0,1826,7691
2020-01-04 04:00:00,3600.0,3555.0000000000005,0.0,0.0,0.0,254.1630789302017,0.0,0.0,0.0,0.0,1739,7409
2020-01-04 05:00:00,3518.1630789302026,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,7073
2020-01-04 06:00:00,3600.0,3555.0000000000005,0.0,0.0,0.0,350.1630789302018,0.0,0.0,0.0,0.0,1614,7505
2020-01-04 07:00:00,2430.0,3555.0000000000005,0.0,0.0,0.0,1165.1630789302026,0.0,0.0,0.0,0.0,1985,7150
2020-01-04 08:00:00,2430.0,3554.9999999999995,0.0,0.0,0.0,784.1630789302026,0.0,0.0,0.0,0.0,2531,6769
2020-01-04 09:00:00,2430.0,3555.0000000000005,0.0,0.0,0.0,0.0,775.8369210697983,0.0,0.0,0.0,4453,5209
2020-01-04 10:00:00,2430.0,3554.9999999999995,0.0,0.0,0.0,167.16307893020348,0.0,0.0,0.0,0.0,3955,6152
2020-01-04 11:00:00,2430.0,3555.0,0.0,0.0,0.0,0.0,432.8369210697973,0.0,0.0,0.0,4915,5552
2020-01-04 12:00:00,1620.0,3555.0,0.0,0.0,0.0,686.163078930203,0.0,0.0,0.0,0.0,5027,5861
2020-01-04 13:00:00,1620.0,3555.0,0.0,0.0,0.0,0.0,7.836921069797199,0.0,0.0,0.0,5335,5167
2020-01-04 14:00:00,1055.1630789302026,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5478,4610
2020-01-04 15:00:00,1620.0,3555.0000000000005,0.0,0.0,0.0,0.0,884.8369210697983,0.0,0.0,0.0,5547,4290
2020-01-04 16:00:00,899.1630789302026,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5313,4454
2020-01-04 17:00:00,1620.0,3554.9999999999995,0.0,0.0,0.0,195.16307893020257,0.0,0.0,0.0,0.0,4986,5370
2020-01-04 18:00:00,1620.0,3555.0000000000005,0.0,0.0,0.0,918.1630789302018,0.0,0.0,0.0,0.0,4748,6093
2020-01-04 19:00:00,1620.0,3554.9999999999995,0.0,0.0,0.0,1110.1630789302037,0.0,0.0,0.0,0.0,4602,6285
2020-01-04 20:00:00,1620.0,3555.0000000000005,0.0,0.0,0.0,93.16307893020166,0.0,1200.0,0.0,0.0,4029,6468
2020-01-04 21:00:00,1620.0,3554.9999999999995,0.0,0.0,0.0,1120.1630789302037,0.0,0.0,0.0,0.0,3688,6295
2020-01-04 22:00:00,1620.0,3555.0000000000005,0.0,0.0,0.0,882.1630789302018,0.0,0.0,0.0,0.0,4150,6057
2020-01-04 23:00:00,1620.0,3555.0000000000005,0.0,0.0,0.0,1513.1630789302026,0.0,0.0,0.0,0.0,3736,6688
2020-01-05 00:00:00,1620.0,3555.0000000000005,0.0,0.0,0.0,358.97749510776566,0.0,651.185583822437,0.0,0.0,3662,6185
2020-01-05 01:00:00,2430.0,3555.0,0.0,0.0,0.0,262.1630789302026,0.0,0.0,0.0,0.0,3259,6247
2020-01-05 02:00:00,2430.0,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,209.16307893020416,0.0,0.0,3028,6194
2020-01-05 03:00:00,2430.0,3555.0,0.0,0.0,0.0,0.0,0.0,248.1630789302037,0.0,0.0,2561,6233
2020-01-05 04:00:00,2430.0,3555.0,0.0,0.0,0.0,183.16307893020303,0.0,0.0,0.0,0.0,2554,6168
2020-01-05 05:00:00,2430.0,3555.0,0.0,0.0,0.0,0.0,0.0,670.1630789302037,0.0,0.0,2433,6655
2020-01-05 06:00:00,2430.0,3555.0,0.0,0.0,0.0,893.1630789302012,0.0,0.0,0.0,0.0,3036,6878
2020-01-05 07:00:00,2430.0,3555.0,0.0,0.0,0.0,772.1630789302019,0.0,0.0,0.0,0.0,3877,6757
2020-01-05 08:00:00,3085.1630789302026,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4491,6640
2020-01-05 09:00:00,3326.1630789302008,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4582,6881
2020-01-05 10:00:00,3600.0,3555.0000000000014,0.0,0.0,0.0,1407.1630789301998,0.0,0.0,0.0,0.0,3157,8562
2020-01-05 11:00:00,3392.1630789302026,3554.9999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4996,6947
2020-01-05 12:00:00,4770.0,3555.0000000000005,0.0,0.0,0.0,354.16307893020087,0.0,0.0,0.0,0.0,3418,8679
2020-01-05 13:00:00,3402.1630789302017,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4884,6957
2020-01-05 14:00:00,3304.1630789302008,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4804,6859
2020-01-05 15:00:00,3374.1630789302017,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4511,6929
2020-01-05 16:00:00,3556.1630789302008,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4238,7111
2020-01-05 17:00:00,4292.163078930201,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4045,7847
2020-01-05 18:00:00,4629.163078930202,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4102,8184
2020-01-05 19:00:00,4547.163078930201,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4056,8102
2020-01-05 20:00:00,4770.0,3554.9999999999995,0.0,0.0,0.0,919.163078930202,0.0,0.0,0.0,0.0,2129,9244
2020-01-05 21:00:00,4056.1630789302008,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3124,7611
2020-01-05 22:00:00,3795.1630789302017,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3558,7350
2020-01-05 23:00:00,3875.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633,7430
2020-01-06 00:00:00,4117.163078930202,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3128,7672
2020-01-06 01:00:00,3960.0,3554.9999999999995,0.0,0.0,0.0,266.16307893020144,0.0,0.0,0.0,0.0,2694,7781
2020-01-06 02:00:00,3960.0,3555.0,0.0,0.0,0.0,281.1630789302012,0.0,0.0,0.0,0.0,2378,7796
2020-01-06 03:00:00,3960.0,3554.9999999999995,0.0,0.0,0.0,259.16307893020144,0.0,0.0,0.0,0.0,2008,7774
2020-01-06 04:00:00,3960.0,3555.0,0.0,0.0,0.0,291.1630789302012,0.0,0.0,0.0,0.0,1925,7806
2020-01-06 05:00:00,4770.0,3554.9999999999995,0.0,0.0,0.0,3.1630789302014364,0.0,0.0,0.0,0.0,1888,8328
2020-01-06 06:00:00,4770.0,3554.9999999999995,0.0,0.0,0.0,559.1630789302014,0.0,0.0,0.0,0.0,2507,8884
2020-01-06 07:00:00,4770.0,3555.0,0.0,0.0,0.0,2358.163078930201,0.0,0.0,0.0,0.0,1727,10683
2020-01-06 08:00:00,4770.0,3554.9999999999995,0.0,0.0,0.0,502.16307893020144,0.0,0.0,0.0,0.0,3920,8827
2020-01-06 09:00:00,4770.0,3555.0,0.0,0.0,0.0,203.1630789302012,0.0,0.0,0.0,0.0,4293,8528
2020-01-06 10:00:00,4770.0,3554.9999999999995,0.0,0.0,0.0,71.16307893020144,0.0,0.0,0.0,0.0,4472,8396
2020-01-06 11:00:00,4745.163078930202,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650,8300
2020-01-06 12:00:00,4667.163078930202,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4704,8222
2020-01-06 13:00:00,4770.0,3555.0,0.0,0.0,0.0,1562.1630789302012,0.0,0.0,0.0,0.0,2773,9887
2020-01-06 14:00:00,3600.0,3554.9999999999995,0.0,0.0,0.0,875.1630789302014,0.0,0.0,0.0,0.0,4405,8030
