Date,Nuclear,Gaz,Charbon,Biomasse,Fioul,Hydro,STEP Pompage,STEP Turbinage,Batterie Injection,Batterie Soutirage,RES,Charge,Charge Nette
2020-01-02T13:00:00,5580.0,-5.456968210637569e-13,1644.1630789302037,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,5649,11673,6024
2020-01-02T14:00:00,5580.0,3.637978807091713e-13,1277.163078930203,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,5660,11317,5657
2020-01-02T15:00:00,5580.0,3.637978807091713e-13,1253.163078930203,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,5464,11097,5633
2020-01-02T16:00:00,5580.0,3.637978807091713e-13,1543.1630789302021,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,5185,11108,5923
2020-01-02T17:00:00,5580.0,3.637978807091713e-13,2160.0,0.0,0.0,0.0,921.836921069797,0.0,0.0,0.0,4872,11690,6818
2020-01-02T18:00:00,5580.0,3.637978807091713e-13,2160.0,0.0,0.0,0.0,24.836921069796972,0.0,0.0,0.0,4147,11862,7715
2020-01-02T19:00:00,5580.0,3.637978807091713e-13,2160.0,0.0,0.0,0.0,0.0,484.1630789302012,0.0,0.0,3463,11687,8224
2020-01-02T20:00:00,5580.0,3.637978807091713e-13,2160.0,0.0,0.0,0.0,0.0,315.1630789302035,0.0,0.0,3037,11092,8055
2020-01-02T21:00:00,5580.0,1.818989403545857e-13,2160.0,0.0,0.0,0.0,125.83692106979676,0.0,0.0,0.0,2954,10568,7614
2020-01-02T22:00:00,5580.0,0.0,2160.0,0.0,0.0,0.0,0.0,439.1630789302035,0.0,0.0,2760,10939,8179
2020-01-02T23:00:00,5580.0,3.637978807091713e-13,2160.0,0.0,0.0,0.0,0.0,659.1630789302017,0.0,0.0,2953,11352,8399
2020-01-03T00:00:00,5580.0,1.3642420526593928e-13,2160.0,0.0,0.0,0.0,0.0,507.1630789302001,0.0,0.0,2813,11060,8247
2020-01-03T01:00:00,5580.0,0.0,2160.0,0.0,0.0,0.0,0.0,373.1630789302026,0.0,0.0,2709,10822,8113
2020-01-03T02:00:00,5580.0,1.3642420526593928e-13,2160.0,0.0,0.0,0.0,0.0,506.1630789302001,0.0,0.0,2198,10444,8246
2020-01-03T03:00:00,5580.0,1.3642420526593928e-13,2160.0,0.0,0.0,0.0,27.83692106979811,0.0,0.0,0.0,2086,9798,7712
2020-01-03T04:00:00,5580.0,-2.160049916710705e-13,1620.0,0.0,0.0,0.0,0.0,123.1630789302028,0.0,0.0,2086,9409,7323
2020-01-03T05:00:00,5580.0,0.0,1620.0,0.0,0.0,0.0,0.0,93.16307893020262,0.0,0.0,2047,9340,7293
2020-01-03T06:00:00,5580.0,0.0,1620.0,0.0,0.0,0.0,476.8369210697973,0.0,0.0,0.0,2679,9402,6723
2020-01-03T07:00:00,5580.0,5.456968210637569e-13,1620.0,0.0,0.0,0.0,0.0,16.16307893020148,0.0,0.0,2235,9451,7216
