Date,Nucleaire,Gaz,Charbon,Biomasse,Fioul,Hydro,STEP Pompage,STEP Turbinage,Batterie Injection,Batterie Soutirage,RES,Charge Nette
2020-01-02 16:00:00,2368.1630789302003,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5185,5923
2020-01-02 17:00:00,3263.1630789302017,3555.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4872,6818
2020-01-02 18:00:00,4160.163078930203,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4147,7715
2020-01-02 19:00:00,4410.0,3555.000000000001,0.0,0.0,0.0,259.1630789302,0.0,0.0,0.0,0.0,3463,8224
2020-01-02 20:00:00,4410.0,3555.0,0.0,0.0,0.0,90.16307893020246,0.0,0.0,0.0,0.0,3037,8055
2020-01-02 21:00:00,4059.1630789302017,3555.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2954,7614
2020-01-02 22:00:00,4410.0,3554.9999999999995,0.0,0.0,0.0,214.1630789302035,0.0,0.0,0.0,0.0,2760,8179
2020-01-02 23:00:00,4410.0,3555.000000000001,0.0,0.0,0.0,434.1630789302,0.0,0.0,0.0,0.0,2953,8399
2020-01-03 00:00:00,4410.0,3555.0,0.0,0.0,0.0,282.1630789302,0.0,0.0,0.0,0.0,2813,8247
2020-01-03 01:00:00,4410.0,3554.9999999999995,0.0,0.0,0.0,148.16307893020246,0.0,0.0,0.0,0.0,2709,8113
2020-01-03 02:00:00,4410.0,3555.0,0.0,0.0,0.0,281.1630789302,0.0,0.0,0.0,0.0,2198,8246
2020-01-03 03:00:00,4157.163078930203,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086,7712
2020-01-03 04:00:00,3768.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086,7323
2020-01-03 05:00:00,3738.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047,7293
2020-01-03 06:00:00,3168.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2679,6723
2020-01-03 07:00:00,3661.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2235,7216
2020-01-03 08:00:00,2165.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3923,5720
2020-01-03 09:00:00,2065.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4352,5620
2020-01-03 10:00:00,2790.0,3554.9999999999995,0.0,0.0,0.0,308.16307893020246,0.0,0.0,0.0,0.0,3685,6653
2020-01-03 11:00:00,2184.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4824,5739
2020-01-03 12:00:00,2156.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5147,5711
2020-01-03 13:00:00,1784.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5053,5339
2020-01-03 14:00:00,1336.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5033,4891
2020-01-03 15:00:00,1421.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4725,4976
2020-01-03 16:00:00,1537.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4574,5092
2020-01-03 17:00:00,2275.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4422,5830
2020-01-03 18:00:00,2556.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4474,6111
2020-01-03 19:00:00,2973.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062,6528
2020-01-03 20:00:00,3369.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408,6924
